input           | target          | cbow_exp_soft0  <-> cbow_exp_lstm0  || best model: 0:first, 1:second
nooit           | tevoren         | 6.95941019058   <-> 8.53350162506   || 0
tevoren         | en              | 3.21498727798   <-> 3.67487287521   || 0
en              | wordt           | 5.28017950058   <-> 5.93000078201   || 0
wordt           | een             | 2.74469947815   <-> 2.71892428398   || 1
een             | nieuwe          | 4.142786026     <-> 4.37486934662   || 0
nieuwe          | sprong          | 8.4407787323    <-> 8.25410652161   || 1
sprong          | voorwaarts      | 5.19017219543   <-> 5.45707988739   || 0
voorwaarts      | voorbereid      | 8.93000030518   <-> 8.10546016693   || 1
voorbereid      | </s>            | 0.451867878437  <-> 0.52056157589   || 0
<s>             | ten             | 7.11368274689   <-> 7.26403141022   || 0
ten             | days            | 14.6565265656   <-> 13.7785148621   || 1
days            | off             | 11.1754579544   <-> 10.4570398331   || 1
off             | gaat            | 6.53764104843   <-> 5.18562078476   || 1
gaat            | evenveel        | 10.6086845398   <-> 9.57871723175   || 1
evenveel        | naar            | 4.2389421463    <-> 4.39875841141   || 0
naar            | toen            | 10.4575777054   <-> 9.75578117371   || 1
toen            | als             | 4.65914773941   <-> 5.54692173004   || 0
als             | naar            | 7.17769765854   <-> 7.04941368103   || 1
naar            | straks          | 12.5265140533   <-> 12.28399086     || 1
straks          | </s>            | 4.135866642     <-> 3.97756171227   || 1
<s>             | hoewel          | 6.93968486786   <-> 6.95672369003   || 0
hoewel          | de              | 1.47962653637   <-> 1.53844678402   || 0
de              | elektronica     | 10.4979314804   <-> 10.461066246    || 1
elektronica     | wordt           | 4.81823444366   <-> 5.46700572968   || 0
wordt           | voorgesteld     | 5.26422548294   <-> 5.58326530457   || 0
voorgesteld     | als             | 3.41765475273   <-> 3.48041677475   || 0
als             | een             | 2.253241539     <-> 2.17883777618   || 1
een             | snoepje         | 10.1565656662   <-> 10.0136423111   || 1
snoepje         | van             | 2.62858867645   <-> 2.68958830833   || 0
van             | hier            | 9.15293502808   <-> 8.48264884949   || 1
hier            | en              | 3.61986351013   <-> 3.09310221672   || 1
en              | nu              | 5.16855287552   <-> 5.5578494072    || 0
nu              | heeft           | 4.84523963928   <-> 5.11408519745   || 0
heeft           | ze              | 3.38190627098   <-> 3.31921696663   || 1
ze              | een             | 1.9068390131    <-> 2.11701107025   || 0
een             | lange           | 5.72666454315   <-> 6.16427326202   || 0
lange           | geschiedenis    | 6.54866361618   <-> 6.41622304916   || 1
geschiedenis    | </s>            | 2.58148288727   <-> 2.07912015915   || 1
<s>             | de              | 2.03529405594   <-> 2.06566691399   || 0
de              | grote           | 5.37223863602   <-> 5.23839664459   || 1
grote           | aandacht        | 6.66585826874   <-> 6.9516210556    || 0
aandacht        | zorgt           | 8.02504444122   <-> 8.09307670593   || 0
zorgt           | ervoor          | 2.67005157471   <-> 2.85984706879   || 0
ervoor          | dat             | 0.46015381813   <-> 0.581836283207  || 0
dat             | de              | 1.36112391949   <-> 1.54622006416   || 0
de              | pioniers        | 10.4798583984   <-> 10.25431633     || 1
pioniers        | mogen           | 9.10233879089   <-> 8.11140441895   || 1
mogen           | en              | 6.01449537277   <-> 5.0500998497    || 1
en              | durven          | 8.45585632324   <-> 8.29057788849   || 1
durven          | buitenkomen     | 11.7729434967   <-> 12.0980186462   || 0
buitenkomen     | </s>            | 1.13730168343   <-> 1.14665210247   || 0
<s>             | zo              | 4.74440956116   <-> 4.79942512512   || 0
zo              | maakt           | 5.24222946167   <-> 5.0946726799    || 1
maakt           | de              | 1.4265307188    <-> 1.5396437645    || 0
de              | Amerikaanse     | 5.96806240082   <-> 6.2531619072    || 0
Amerikaanse     | oud-strijder    | 11.8809528351   <-> 11.6049499512   || 1
oud-strijder    | François       | 8.66095161438   <-> 7.88957548141   || 1
François       | </s>            | 5.40931367874   <-> 6.14651679993   || 0
<s>             | <UNK>           | 3.04738330841   <-> 2.86522531509   || 1
<UNK>           | zijn            | 4.42955970764   <-> 4.22519207001   || 1
zijn            | debuut          | 7.82675933838   <-> 8.06596374512   || 0
debuut          | op              | 3.58233356476   <-> 3.02405595779   || 1
op              | Belgische       | 8.55651378632   <-> 8.29842472076   || 1
Belgische       | bodem           | 3.09674549103   <-> 4.76361274719   || 0
bodem           | </s>            | 0.865385353565  <-> 0.979174137115  || 0
<s>             | de              | 1.92694628239   <-> 1.91013014317   || 1
de              | man             | 5.71450948715   <-> 5.46347665787   || 1
man             | maakte          | 5.2888174057    <-> 5.33095741272   || 0
maakte          | gezwind         | 11.7552776337   <-> 11.8904256821   || 0
gezwind         | de              | 2.79086637497   <-> 2.65012979507   || 1
de              | overstap        | 7.90129852295   <-> 8.67591571808   || 0
overstap        | van             | 0.969425320625  <-> 1.324406147     || 0
van             | disco           | 12.1215324402   <-> 11.950712204    || 1
disco           | naar            | 4.76332902908   <-> 5.25987195969   || 0
naar            | house           | 10.5184526443   <-> 10.4383831024   || 1
house           | en              | 1.23528587818   <-> 1.38420939445   || 0
en              | zag             | 9.07999229431   <-> 7.57118844986   || 1
zag             | zeer            | 8.43548107147   <-> 7.59682607651   || 1
zeer            | vroeg           | 7.53983449936   <-> 7.42936563492   || 1
vroeg           | het             | 4.27538490295   <-> 4.52277135849   || 0
het             | nut             | 8.61339759827   <-> 8.61682987213   || 0
nut             | van             | 0.647809565067  <-> 0.39825257659   || 1
van             | remixen         | 13.9751691818   <-> 13.1121797562   || 1
remixen         | in              | 2.88753509521   <-> 2.82769203186   || 1
in              | </s>            | 4.17401599884   <-> 4.3563952446    || 0
<s>             | <UNK>           | 3.02273964882   <-> 2.98447537422   || 1
<UNK>           | werkte          | 6.71064281464   <-> 6.76714038849   || 0
werkte          | zowel           | 7.27818250656   <-> 7.06273174286   || 1
zowel           | met             | 2.82750725746   <-> 3.12041521072   || 0
met             | Kraftwerk       | 12.2339687347   <-> 11.546877861    || 1
Kraftwerk       | als             | 0.561420679092  <-> 3.38411045074   || 0
als             | met             | 5.53453636169   <-> 5.89571666718   || 0
met             | Diana           | 10.7322349548   <-> 10.6295080185   || 1
Diana           | Ross            | 9.50543117523   <-> 9.4526424408    || 1
Ross            | en              | 2.55205321312   <-> 2.31545972824   || 1
en              | wordt           | 7.69302654266   <-> 7.64783525467   || 1
wordt           | tot             | 6.36201667786   <-> 5.52308654785   || 1
tot             | de              | 2.28885364532   <-> 2.06413221359   || 1
de              | beste           | 5.06097602844   <-> 4.5696182251    || 1
beste           | dj's            | 10.0434780121   <-> 10.5848369598   || 0
dj's            | aller           | 6.03692531586   <-> 7.92305517197   || 0
aller           | tijden          | 0.153790399432  <-> 0.125233501196  || 1
tijden          | gerekend        | 8.1572971344    <-> 8.72247982025   || 0
gerekend        | </s>            | 0.303669840097  <-> 0.65075480938   || 0
<s>             | mooi            | 8.41258811951   <-> 8.85960292816   || 0
mooi            | <UNK>           | 2.84161829948   <-> 3.11789560318   || 0
<UNK>           | </s>            | 2.14147901535   <-> 2.049264431     || 1
<s>             | een             | 3.68597650528   <-> 3.4989464283    || 1
een             | hogedrukgebied  | 7.67269706726   <-> 8.8797044754    || 0
hogedrukgebied  | neemt           | 6.9607219696    <-> 6.6963262558    || 1
neemt           | het             | 3.15898013115   <-> 2.81693077087   || 1
het             | heft            | 7.52589797974   <-> 6.87637424469   || 1
heft            | in              | 2.19453620911   <-> 2.18234729767   || 1
in              | handen          | 5.3284072876    <-> 5.34989833832   || 0
handen          | en              | 2.68963766098   <-> 2.2758243084    || 1
en              | bezorgt         | 10.0528850555   <-> 9.98558139801   || 1
bezorgt         | West-Europa     | 11.1981496811   <-> 11.8034801483   || 0
West-Europa     | een             | 2.33643937111   <-> 2.39336442947   || 0
een             | rustige         | 7.46268844604   <-> 7.20528697968   || 1
rustige         | en              | 5.21361637115   <-> 5.66426563263   || 0
en              | mooie           | 6.56623792648   <-> 6.37259531021   || 1
mooie           | periode         | 6.30437374115   <-> 5.98377132416   || 1
periode         | </s>            | 1.34875452518   <-> 1.6950480938    || 0
<s>             | onder           | 6.57857036591   <-> 6.36051654816   || 1
onder           | aanvoer         | 12.9100561142   <-> 12.3692111969   || 1
aanvoer         | van             | 0.490792363882  <-> 0.24421851337   || 1
van             | een             | 2.63783812523   <-> 2.74794006348   || 0
een             | zuidelijke      | 8.98115825653   <-> 9.40378761292   || 0
zuidelijke      | stroming        | 5.17555952072   <-> 4.62660884857   || 1
stroming        | is              | 2.88919901848   <-> 3.00113320351   || 0
is              | de              | 1.56974971294   <-> 1.80621707439   || 0
de              | zon             | 4.83339929581   <-> 3.84044289589   || 1
zon             | van             | 3.52465939522   <-> 3.10795259476   || 1
van             | de              | 1.07033264637   <-> 1.20866370201   || 0
de              | partij          | 6.96519994736   <-> 10.3400726318   || 0
partij          | en              | 3.50464725494   <-> 3.31632518768   || 1
en              | komt            | 6.41392946243   <-> 5.79622840881   || 1
komt            | de              | 2.72704172134   <-> 1.98000347614   || 1
de              | twintig         | 8.22301387787   <-> 8.9050617218    || 0
twintig         | <UNK>           | 3.9929766655    <-> 2.93631076813   || 1
<UNK>           | binnen          | 5.84812116623   <-> 5.78618383408   || 1
binnen          | handbereik      | 7.52673435211   <-> 7.01546096802   || 1
handbereik      | </s>            | 0.428288251162  <-> 0.582455337048  || 0
<s>             | krijgen         | 10.0329999924   <-> 10.0769309998   || 0
krijgen         | we              | 2.67051315308   <-> 2.44202899933   || 1
we              | een             | 2.15715241432   <-> 2.39468288422   || 0
een             | onvervalste     | 9.22751998901   <-> 9.07220458984   || 1
onvervalste     | mooie           | 7.98158025742   <-> 7.3725938797    || 1
mooie           | <UNK>           | 2.14505362511   <-> 2.00986886024   || 1
