input           | target          | original0       <-> cbow_exp_soft0  || best model: 0:first, 1:second
mogen           | en              | 5.54281139374   <-> 6.01449537277   || 0
en              | durven          | 8.79360198975   <-> 8.45585632324   || 1
durven          | buitenkomen     | 12.6088399887   <-> 11.7729434967   || 1
buitenkomen     | </s>            | 1.14053273201   <-> 1.13730168343   || 1
<s>             | zo              | 5.00561475754   <-> 4.74440956116   || 1
zo              | maakt           | 6.03301620483   <-> 5.24222946167   || 1
maakt           | de              | 1.6327958107    <-> 1.4265307188    || 1
de              | Amerikaanse     | 5.87919712067   <-> 5.96806240082   || 0
Amerikaanse     | oud-strijder    | 12.5375270844   <-> 11.8809528351   || 1
oud-strijder    | François       | 9.03675174713   <-> 8.66095161438   || 1
François       | </s>            | 5.34482288361   <-> 5.40931367874   || 0
<s>             | <UNK>           | 3.11381959915   <-> 3.04738330841   || 1
<UNK>           | zijn            | 4.22391986847   <-> 4.42955970764   || 0
zijn            | debuut          | 8.21319675446   <-> 7.82675933838   || 1
debuut          | op              | 3.09901547432   <-> 3.58233356476   || 0
op              | Belgische       | 8.90779304504   <-> 8.55651378632   || 1
Belgische       | bodem           | 4.95081043243   <-> 3.09674549103   || 1
bodem           | </s>            | 0.870736300945  <-> 0.865385353565  || 1
<s>             | de              | 1.8083460331    <-> 1.92694628239   || 0
de              | man             | 5.20024204254   <-> 5.71450948715   || 0
man             | maakte          | 5.64179182053   <-> 5.2888174057    || 1
maakte          | gezwind         | 12.0912885666   <-> 11.7552776337   || 1
gezwind         | de              | 3.04636049271   <-> 2.79086637497   || 1
de              | overstap        | 8.97132492065   <-> 7.90129852295   || 1
overstap        | van             | 1.2608319521    <-> 0.969425320625  || 1
van             | disco           | 11.6025238037   <-> 12.1215324402   || 0
disco           | naar            | 4.54526901245   <-> 4.76332902908   || 0
naar            | house           | 10.2314243317   <-> 10.5184526443   || 0
house           | en              | 1.40657103062   <-> 1.23528587818   || 1
en              | zag             | 8.52093505859   <-> 9.07999229431   || 0
zag             | zeer            | 7.99699306488   <-> 8.43548107147   || 0
zeer            | vroeg           | 7.81023693085   <-> 7.53983449936   || 1
vroeg           | het             | 3.95890283585   <-> 4.27538490295   || 0
het             | nut             | 8.49924087524   <-> 8.61339759827   || 0
nut             | van             | 0.604116201401  <-> 0.647809565067  || 0
van             | remixen         | 12.7930984497   <-> 13.9751691818   || 0
remixen         | in              | 3.00520920753   <-> 2.88753509521   || 1
in              | </s>            | 2.84640240669   <-> 4.17401599884   || 0
<s>             | <UNK>           | 2.82487440109   <-> 3.02273964882   || 0
<UNK>           | werkte          | 7.25067329407   <-> 6.71064281464   || 1
werkte          | zowel           | 7.19038295746   <-> 7.27818250656   || 0
zowel           | met             | 4.00007247925   <-> 2.82750725746   || 1
met             | Kraftwerk       | 12.4596920013   <-> 12.2339687347   || 1
Kraftwerk       | als             | 4.64182376862   <-> 0.561420679092  || 1
als             | met             | 5.83674430847   <-> 5.53453636169   || 1
met             | Diana           | 10.7833070755   <-> 10.7322349548   || 1
Diana           | Ross            | 10.1686172485   <-> 9.50543117523   || 1
Ross            | en              | 3.12833309174   <-> 2.55205321312   || 1
en              | wordt           | 7.02162027359   <-> 7.69302654266   || 0
wordt           | tot             | 5.94550848007   <-> 6.36201667786   || 0
tot             | de              | 2.21008062363   <-> 2.28885364532   || 0
de              | beste           | 5.61776065826   <-> 5.06097602844   || 1
beste           | dj's            | 9.93999767303   <-> 10.0434780121   || 0
dj's            | aller           | 7.72077512741   <-> 6.03692531586   || 1
aller           | tijden          | 2.48683023453   <-> 0.153790399432  || 1
tijden          | gerekend        | 8.85667133331   <-> 8.1572971344    || 1
gerekend        | </s>            | 0.49937492609   <-> 0.303669840097  || 1
<s>             | mooi            | 8.62407207489   <-> 8.41258811951   || 1
mooi            | <UNK>           | 2.15040373802   <-> 2.84161829948   || 0
<UNK>           | </s>            | 2.66013383865   <-> 2.14147901535   || 1
<s>             | een             | 3.18470668793   <-> 3.68597650528   || 0
een             | hogedrukgebied  | 8.92953968048   <-> 7.67269706726   || 1
hogedrukgebied  | neemt           | 7.70805120468   <-> 6.9607219696    || 1
neemt           | het             | 3.06168341637   <-> 3.15898013115   || 0
het             | heft            | 8.53014755249   <-> 7.52589797974   || 1
heft            | in              | 2.52692556381   <-> 2.19453620911   || 1
in              | handen          | 5.81828594208   <-> 5.3284072876    || 1
handen          | en              | 2.94323825836   <-> 2.68963766098   || 1
en              | bezorgt         | 10.6155090332   <-> 10.0528850555   || 1
bezorgt         | West-Europa     | 12.5408325195   <-> 11.1981496811   || 1
West-Europa     | een             | 2.67988944054   <-> 2.33643937111   || 1
een             | rustige         | 7.92151260376   <-> 7.46268844604   || 1
rustige         | en              | 5.33427047729   <-> 5.21361637115   || 1
en              | mooie           | 6.68184757233   <-> 6.56623792648   || 1
mooie           | periode         | 6.33042621613   <-> 6.30437374115   || 1
periode         | </s>            | 1.54010820389   <-> 1.34875452518   || 1
<s>             | onder           | 6.45342636108   <-> 6.57857036591   || 0
onder           | aanvoer         | 12.264550209    <-> 12.9100561142   || 0
aanvoer         | van             | 0.576046288013  <-> 0.490792363882  || 1
van             | een             | 2.52156996727   <-> 2.63783812523   || 0
een             | zuidelijke      | 9.88446998596   <-> 8.98115825653   || 1
zuidelijke      | stroming        | 6.84764051437   <-> 5.17555952072   || 1
stroming        | is              | 2.67008209229   <-> 2.88919901848   || 0
is              | de              | 1.65829312801   <-> 1.56974971294   || 1
de              | zon             | 4.73287630081   <-> 4.83339929581   || 0
zon             | van             | 3.64918136597   <-> 3.52465939522   || 1
van             | de              | 1.29910731316   <-> 1.07033264637   || 1
de              | partij          | 8.03689002991   <-> 6.96519994736   || 1
partij          | en              | 2.88854408264   <-> 3.50464725494   || 0
en              | komt            | 6.60259532928   <-> 6.41392946243   || 1
komt            | de              | 2.71793651581   <-> 2.72704172134   || 0
de              | twintig         | 7.72622013092   <-> 8.22301387787   || 0
twintig         | <UNK>           | 3.08138084412   <-> 3.9929766655    || 0
<UNK>           | binnen          | 6.14383029938   <-> 5.84812116623   || 1
binnen          | handbereik      | 8.13958263397   <-> 7.52673435211   || 1
handbereik      | </s>            | 0.602181971073  <-> 0.428288251162  || 1
<s>             | krijgen         | 9.90458011627   <-> 10.0329999924   || 0
krijgen         | we              | 2.60670018196   <-> 2.67051315308   || 0
we              | een             | 2.52760004997   <-> 2.15715241432   || 1
een             | onvervalste     | 9.69700717926   <-> 9.22751998901   || 1
onvervalste     | mooie           | 7.48132991791   <-> 7.98158025742   || 0
mooie           | <UNK>           | 1.84602475166   <-> 2.14505362511   || 0
<UNK>           | </s>            | 1.37075996399   <-> 0.96312057972   || 1
<s>             | de              | 2.05505800247   <-> 2.06841897964   || 0
de              | atmosfeer       | 7.99575471878   <-> 8.55940723419   || 0
atmosfeer       | gaat            | 4.80307579041   <-> 5.05605697632   || 0
gaat            | enkele          | 7.28285360336   <-> 7.1843957901    || 1
enkele          | dagen           | 3.29885172844   <-> 1.91203844547   || 1
dagen           | de              | 4.34062576294   <-> 4.81258487701   || 0
de              | rustige         | 9.68736457825   <-> 9.23883056641   || 1
rustige         | toer            | 7.87615060806   <-> 7.02271652222   || 1
toer            | op              | 2.44285941124   <-> 1.92435085773   || 1
op              | </s>            | 1.53279066086   <-> 1.41852211952   || 1
<s>             | de              | 2.03852963448   <-> 1.93201565742   || 1
de              | dag             | 6.0792131424    <-> 4.61316823959   || 1
dag             | begint          | 5.92450761795   <-> 5.63896560669   || 1
begint          | met             | 3.54364013672   <-> 4.01507759094   || 0
met             | wat             | 5.57991504669   <-> 4.99014568329   || 1
wat             | nevel           | 7.51940727234   <-> 5.17273139954   || 1
nevel           | of              | 3.41451597214   <-> 3.0838394165    || 1
of              | verspreid       | 9.54150390625   <-> 9.93298530579   || 0
verspreid       | enkele          | 9.3579750061    <-> 8.13266086578   || 1
enkele          | mistbanken      | 5.46821498871   <-> 4.43201732635   || 1
mistbanken      | die             | 4.63948440552   <-> 4.19545650482   || 1
die             | op              | 4.01272439957   <-> 4.01957988739   || 0
op              | de              | 1.4246070385    <-> 1.3736935854    || 1
de              | weg             | 5.28190279007   <-> 5.18244743347   || 1
weg             | verraderlijk    | 14.6963233948   <-> 14.5552692413   || 1
verraderlijk    | uit             | 6.31554222107   <-> 7.20782756805   || 0
uit             | de              | 1.28304076195   <-> 1.2217862606    || 1
de              | hoek            | 6.13686466217   <-> 4.41048192978   || 1
hoek            | kunnen          | 3.75145578384   <-> 4.02798461914   || 0
kunnen          | komen           | 3.44973611832   <-> 2.33280849457   || 1
komen           | </s>            | 0.421729207039  <-> 0.210665211082  || 1
<s>             | al              | 5.70101928711   <-> 5.78095340729   || 0
al              | vrij            | 7.89137172699   <-> 8.25159358978   || 0
vrij            | snel            | 5.04371500015   <-> 4.3896894455    || 1
snel            | maakt           | 7.0382232666    <-> 6.11672639847   || 1
maakt           | de              | 1.66789233685   <-> 1.37677073479   || 1
de              | zon             | 3.99326705933   <-> 4.31756687164   || 0
zon             | op              | 3.69188022614   <-> 4.04752826691   || 0
op              | deze            | 5.61517620087   <-> 5.08152294159   || 1
deze            | laatste         | 6.2585144043    <-> 6.29733562469   || 0
laatste         | dag             | 3.63301181793   <-> 2.84739804268   || 1
dag             | van             | 3.63857007027   <-> 3.98911619186   || 0
van             | september       | 8.44616317749   <-> 6.7362537384    || 1
september       | er              | 6.52909517288   <-> 6.03095626831   || 1
er              | werk            | 8.14792633057   <-> 8.265873909     || 0
werk            | van             | 2.33041858673   <-> 2.53336668015   || 0
van             | om              | 5.03601264954   <-> 4.88310050964   || 1
