input           | target          | original0       <-> cbow_mean_soft0 || best model: 0:first, 1:second
de              | chirurg         | 9.77689266205   <-> 9.51337909698   || 1
chirurg         | hem             | 5.53137207031   <-> 6.24771022797   || 0
hem             | verteld         | 6.60745477676   <-> 7.60837936401   || 0
verteld         | </s>            | 0.893388807774  <-> 1.10802459717   || 0
<s>             | het             | 2.85978198051   <-> 2.58162021637   || 1
het             | optimisme       | 9.66396617889   <-> 9.0682144165    || 1
optimisme       | van             | 1.64461064339   <-> 1.53624784946   || 1
van             | de              | 1.09189653397   <-> 1.08309721947   || 1
de              | chirurg         | 9.99074363708   <-> 10.1474523544   || 0
chirurg         | wordt           | 4.43412303925   <-> 3.95494151115   || 1
wordt           | veeleer         | 8.63830375671   <-> 8.30074501038   || 1
veeleer         | bepaald         | 6.72909593582   <-> 5.63505792618   || 1
bepaald         | door            | 3.05246257782   <-> 2.43501496315   || 1
door            | de              | 1.19689846039   <-> 1.12478601933   || 1
de              | stand           | 8.2211265564    <-> 7.85945701599   || 1
stand           | van             | 1.04443573952   <-> 1.12621057034   || 0
van             | zijn            | 3.64379262924   <-> 4.26249837875   || 0
zijn            | bankrekening    | 8.82584190369   <-> 7.91536903381   || 1
bankrekening    | dan             | 5.72494316101   <-> 5.79968976974   || 0
dan             | door            | 5.50315237045   <-> 5.55305528641   || 0
door            | wetenschappelijk | 10.2699899673   <-> 10.1571617126   || 1
wetenschappelijk | verantwoorde    | 8.2510061264    <-> 5.48936414719   || 1
verantwoorde    | verwachtingen   | 8.39348983765   <-> 8.10079479218   || 1
verwachtingen   | </s>            | 0.666661798954  <-> 0.994463920593  || 0
<s>             | twee            | 6.33663082123   <-> 6.15413045883   || 1
twee            | jaar            | 2.46537542343   <-> 2.68885087967   || 0
jaar            | lang            | 4.38011455536   <-> 4.25872182846   || 1
lang            | kon             | 5.45491123199   <-> 5.33667755127   || 1
kon             | <UNK>           | 4.39452934265   <-> 3.35818362236   || 1
<UNK>           | nauwelijks      | 7.945977211     <-> 7.57008457184   || 1
nauwelijks      | stappen         | 7.94340705872   <-> 8.71782302856   || 0
stappen         | </s>            | 1.82533192635   <-> 1.4933154583    || 1
<s>             | en              | 4.00813388824   <-> 4.03145837784   || 0
en              | dat             | 2.87408471107   <-> 2.71764349937   || 1
dat             | is              | 1.82655930519   <-> 1.87915956974   || 0
is              | in              | 3.85210323334   <-> 3.90200734138   || 0
in              | golf            | 12.3708496094   <-> 13.2940196991   || 0
golf            | een             | 4.63177061081   <-> 3.96301436424   || 1
een             | fatale          | 9.56700992584   <-> 9.54686450958   || 1
fatale          | handicap        | 7.79643535614   <-> 8.50363731384   || 0
handicap        | aangezien       | 9.82438278198   <-> 9.1668510437    || 1
aangezien       | één           | 7.48195934296   <-> 7.08137321472   || 1
één           | rondje          | 11.5680971146   <-> 10.9762363434   || 1
rondje          | van             | 3.84357595444   <-> 3.8807182312    || 0
van             | achttien        | 7.00368738174   <-> 7.05496311188   || 0
achttien        | holes           | 12.8574590683   <-> 11.0722846985   || 1
holes           | makkelijk       | 10.3047142029   <-> 9.6412191391    || 1
makkelijk       | zeven           | 8.8553647995    <-> 9.26582813263   || 0
zeven           | kilometer       | 4.21092653275   <-> 6.36390256882   || 0
kilometer       | bedraagt        | 7.60011720657   <-> 9.25560855865   || 0
bedraagt        | en              | 3.16815185547   <-> 2.66130304337   || 1
en              | een             | 3.03854513168   <-> 3.20703315735   || 0
een             | toernooi        | 10.8307285309   <-> 10.4132785797   || 1
toernooi        | vier            | 7.50992298126   <-> 7.31717586517   || 1
vier            | rondjes         | 10.6407260895   <-> 10.3927326202   || 1
rondjes         | van             | 3.91817951202   <-> 3.57003569603   || 1
van             | achttien        | 6.57913303375   <-> 5.74306106567   || 1
achttien        | holes           | 12.7465114594   <-> 11.1216545105   || 1
holes           | </s>            | 1.63304495811   <-> 0.761259078979  || 1
<s>             | tenzij          | 9.53739738464   <-> 8.99723625183   || 1
tenzij          | je              | 3.23516225815   <-> 3.35592198372   || 0
je              | zoals           | 7.52048873901   <-> 8.18944072723   || 0
zoals           | Nick            | 10.2033481598   <-> 10.1340370178   || 1
Nick            | <UNK>           | 1.36875653267   <-> 1.21191608906   || 1
<UNK>           | de              | 2.72600412369   <-> 2.67838001251   || 1
de              | cut             | 12.4476604462   <-> 12.1642131805   || 1
cut             | niet            | 4.9752702713    <-> 5.15669822693   || 0
niet            | meer            | 3.5691318512    <-> 3.36061048508   || 1
meer            | overleeft       | 9.84622764587   <-> 8.91636657715   || 1
overleeft       | </s>            | 1.77189326286   <-> 0.911587715149  || 1
<s>             | <UNK>           | 3.02815723419   <-> 2.78446555138   || 1
<UNK>           | kreeg           | 6.26706552505   <-> 6.23739528656   || 1
kreeg           | van             | 4.89323139191   <-> 4.388007164     || 1
van             | de              | 1.23630857468   <-> 1.59135341644   || 0
de              | Royal           | 8.48195075989   <-> 8.72764110565   || 0
Royal           | and             | 9.14627170563   <-> 6.4877948761    || 1
and             | <UNK>           | 1.00547063351   <-> 1.0050778389    || 1
<UNK>           | de              | 2.84650087357   <-> 2.79983568192   || 1
de              | hoogste         | 7.11290931702   <-> 6.56558895111   || 1
hoogste         | <UNK>           | 1.61399185658   <-> 1.81940150261   || 0
<UNK>           | die             | 3.36067914963   <-> 3.34417057037   || 1
die             | huist           | 12.2577238083   <-> 12.8044872284   || 0
huist           | in              | 2.28136444092   <-> 2.12408089638   || 1
in              | het             | 2.12585139275   <-> 2.02758646011   || 1
het             | Schotse         | 7.91819763184   <-> 7.46536111832   || 1
Schotse         | <UNK>           | 1.32601594925   <-> 1.63885843754   || 0
<UNK>           | geen            | 8.05988883972   <-> 8.17400360107   || 0
geen            | toestemming     | 8.42955780029   <-> 7.9039850235    || 1
toestemming     | om              | 2.83463764191   <-> 3.38208055496   || 0
om              | zich            | 4.27716398239   <-> 4.14738512039   || 1
zich            | met             | 3.67360067368   <-> 3.95260381699   || 0
met             | een             | 1.74010384083   <-> 1.85212004185   || 0
een             | karretje        | 11.2865428925   <-> 10.045135498    || 1
karretje        | door            | 4.92384243011   <-> 5.27198553085   || 0
door            | de              | 1.63564407825   <-> 1.91429305077   || 0
de              | toernooien      | 12.6028862      <-> 12.0628757477   || 1
toernooien      | van             | 2.32933521271   <-> 2.48490571976   || 0
van             | de              | 1.04829752445   <-> 1.14485192299   || 0
de              | Europese        | 5.82099294662   <-> 5.33930015564   || 1
Europese        | <UNK>           | 1.921017766     <-> 1.57199752331   || 1
<UNK>           | te              | 1.67819845676   <-> 0.836684644222  || 1
te              | verplaatsen     | 6.81029367447   <-> 6.25946044922   || 1
verplaatsen     | </s>            | 0.300492346287  <-> 0.198247820139  || 1
<s>             | wat             | 5.71319103241   <-> 5.46992301941   || 1
wat             | hij             | 3.63964438438   <-> 4.83276367188   || 0
hij             | wel             | 5.51980495453   <-> 5.19672012329   || 1
wel             | kreeg           | 6.51576519012   <-> 6.79138660431   || 0
kreeg           | was             | 3.43510293961   <-> 4.11983776093   || 0
was             | een             | 2.22494029999   <-> 2.41645669937   || 0
een             | aanval          | 8.56018924713   <-> 7.62001132965   || 1
aanval          | van             | 2.39128756523   <-> 2.71202230453   || 0
van             | artritis        | 12.9600992203   <-> 12.5092983246   || 1
artritis        | een             | 4.28375530243   <-> 4.87040805817   || 0
een             | aanzet          | 9.23271751404   <-> 9.87451648712   || 0
aanzet          | tot             | 3.50319051743   <-> 1.92717242241   || 1
tot             | <UNK>           | 2.461830616     <-> 2.77848243713   || 0
<UNK>           | een             | 4.48643398285   <-> 5.05500125885   || 0
een             | depressie       | 9.00370979309   <-> 8.45367622375   || 1
depressie       | en              | 2.62071657181   <-> 2.40759134293   || 1
en              | een             | 2.38599491119   <-> 2.79606318474   || 0
een             | plaatsje        | 7.63789892197   <-> 7.59091281891   || 1
plaatsje        | in              | 2.28542518616   <-> 2.12513017654   || 1
in              | de              | 1.1620759964    <-> 1.17988193035   || 0
de              | grauwe          | 10.2060174942   <-> 9.79282188416   || 1
grauwe          | middenmoot      | 10.1832418442   <-> 8.48373413086   || 1
middenmoot      | </s>            | 0.681290328503  <-> 0.611967325211  || 1
<s>             | dat             | 3.89798116684   <-> 3.94423103333   || 0
dat             | stelde          | 7.96910429001   <-> 7.51944923401   || 1
stelde          | een             | 2.77285003662   <-> 2.62742519379   || 1
een             | extra           | 7.08047294617   <-> 7.25172281265   || 0
extra           | probleem        | 6.87107133865   <-> 7.71286153793   || 0
probleem        | voor            | 2.60854935646   <-> 2.68933653831   || 0
voor            | zijn            | 3.83436179161   <-> 4.14177894592   || 0
zijn            | landgenoot      | 7.96433544159   <-> 6.96829414368   || 1
landgenoot      | <UNK>           | 1.99541091919   <-> 2.13414382935   || 0
<UNK>           | <UNK>           | 1.91029763222   <-> 1.71159160137   || 1
<UNK>           | die             | 3.30207562447   <-> 3.4150929451    || 0
die             | twee            | 5.92310237885   <-> 6.30714893341   || 0
twee            | jaar            | 2.48247337341   <-> 2.07331132889   || 1
jaar            | geleden         | 0.715930461884  <-> 0.488594204187  || 1
geleden         | captain         | 14.7736110687   <-> 15.3285865784   || 0
captain         | was             | 3.78480315208   <-> 3.8305003643    || 0
was             | van             | 3.73430633545   <-> 3.63517832756   || 1
van             | de              | 1.18614912033   <-> 1.15680599213   || 1
de              | Europese        | 5.55273532867   <-> 4.89769268036   || 1
