input           | target          | original0       <-> cbow_tfidf_lstm0 || best model: 0:first, 1:second
aan             | zijn            | 3.36362934113   <-> 3.10256719589   || 1
zijn            | <UNK>           | 2.08282542229   <-> 2.51522755623   || 0
<UNK>           | vroeg           | 8.59753513336   <-> 7.68482494354   || 1
vroeg           | </s>            | 2.62732577324   <-> 2.49809813499   || 1
<s>             | heb             | 9.26512145996   <-> 8.99355220795   || 1
heb             | ik              | 0.816192686558  <-> 0.633780360222  || 1
ik              | een             | 2.44790554047   <-> 2.71625471115   || 0
een             | shot            | 10.3662452698   <-> 10.3330154419   || 1
shot            | naar            | 5.93687915802   <-> 5.67179870605   || 1
naar            | de              | 1.60267114639   <-> 1.62751221657   || 0
de              | green           | 12.1746559143   <-> 12.1304321289   || 1
green           | </s>            | 3.13694477081   <-> 2.14750337601   || 1
<s>             | antwoordde      | 11.2398490906   <-> 12.0957927704   || 0
antwoordde      | die             | 5.2583026886    <-> 5.93319892883   || 0
die             | </s>            | 5.09124422073   <-> 5.46389913559   || 0
<s>             | meer            | 6.95656681061   <-> 6.80538845062   || 1
meer            | dan             | 1.33448767662   <-> 0.849945783615  || 1
dan             | één           | 4.18430948257   <-> 3.93743610382   || 1
één           | zelfs           | 9.08692550659   <-> 10.9018478394   || 0
zelfs           | </s>            | 3.41484355927   <-> 3.27226257324   || 1
<s>             | <UNK>           | 3.099173069     <-> 3.21614193916   || 0
<UNK>           | dat             | 5.36815214157   <-> 5.88903665543   || 0
dat             | is              | 3.22558927536   <-> 3.85335254669   || 0
is              | op              | 4.37382173538   <-> 4.83251190186   || 0
op              | <UNK>           | 3.45521473885   <-> 3.69831204414   || 0
<UNK>           | alles           | 7.31991481781   <-> 8.01509380341   || 0
alles           | wat             | 4.43027114868   <-> 4.80513858795   || 0
wat             | buiten          | 8.33837795258   <-> 7.24404716492   || 1
buiten          | de              | 1.29221463203   <-> 1.45797359943   || 0
de              | green           | 12.2981491089   <-> 12.634885788    || 0
green           | ligt            | 7.91695070267   <-> 6.45838451385   || 1
ligt            | </s>            | 0.823407590389  <-> 0.775040388107  || 1
<s>             | naar            | 6.81328964233   <-> 6.71481323242   || 1
naar            | de              | 1.19685351849   <-> 1.30990290642   || 0
de              | normen          | 8.98122024536   <-> 8.65741348267   || 1
normen          | van             | 1.09485566616   <-> 1.28930771351   || 0
van             | de              | 1.21581041813   <-> 0.975891947746  || 1
de              | <UNK>           | 1.54997014999   <-> 1.99150037766   || 0
<UNK>           | Amerikaanse     | 9.87573814392   <-> 8.59742546082   || 1
Amerikaanse     | banen           | 9.49955749512   <-> 8.3359413147    || 1
banen           | zijn            | 3.32066273689   <-> 3.84707450867   || 0
zijn            | zelfs           | 6.03791046143   <-> 6.25461864471   || 0
zelfs           | de              | 2.17212367058   <-> 2.31798052788   || 0
de              | <UNK>           | 1.8680485487    <-> 2.53041124344   || 0
<UNK>           | op              | 3.87550354004   <-> 3.97558522224   || 0
op              | <UNK>           | 3.01342463493   <-> 3.20380735397   || 0
<UNK>           | te              | 4.40148258209   <-> 4.31524801254   || 1
te              | <UNK>           | 3.47642230988   <-> 4.46056175232   || 0
<UNK>           | als             | 4.58303785324   <-> 4.50269794464   || 1
als             | <UNK>           | 2.12412333488   <-> 2.47380685806   || 0
<UNK>           | </s>            | 1.79665637016   <-> 1.52299022675   || 1
<s>             | <UNK>           | 3.069054842     <-> 3.21614193916   || 0
<UNK>           | zijn            | 4.11580944061   <-> 4.62428236008   || 0
zijn            | er              | 2.98498010635   <-> 3.31574201584   || 0
er              | niet            | 2.68045186996   <-> 2.68206858635   || 0
niet            | </s>            | 3.45383620262   <-> 3.89824724197   || 0
<s>             | wat             | 5.26495742798   <-> 5.29974555969   || 0
wat             | ons             | 6.67902040482   <-> 6.88607263565   || 0
ons             | verplicht       | 8.82487487793   <-> 7.92243909836   || 1
verplicht       | Henry           | 13.4055366516   <-> 15.6961698532   || 0
Henry           | <UNK>           | 2.19589543343   <-> 1.70512747765   || 1
<UNK>           | te              | 3.19556450844   <-> 2.79848456383   || 1
te              | citeren         | 8.28924465179   <-> 7.95540189743   || 1
citeren         | die             | 4.58258152008   <-> 4.93730068207   || 0
die             | de              | 2.38706731796   <-> 2.43972229958   || 0
de              | <UNK>           | 1.8811314106    <-> 2.21141266823   || 0
<UNK>           | omschreef       | 10.3745269775   <-> 10.669757843    || 0
omschreef       | als             | 4.63240146637   <-> 4.20603466034   || 1
als             | de              | 1.87630403042   <-> 1.85941445827   || 1
de              | dunne           | 10.4722337723   <-> 10.6853456497   || 0
dunne           | strook          | 9.44408988953   <-> 8.7253370285    || 1
strook          | <UNK>           | 2.41910362244   <-> 3.2640619278    || 0
<UNK>           | gras            | 11.5667362213   <-> 11.4998121262   || 1
gras            | die             | 3.89505195618   <-> 4.42381572723   || 0
die             | de              | 2.53268861771   <-> 2.57663679123   || 0
de              | scheiding       | 8.89010620117   <-> 9.60307312012   || 0
scheiding       | vormt           | 7.15167379379   <-> 7.36099052429   || 0
vormt           | tussen          | 4.52476978302   <-> 4.99558639526   || 0
tussen          | twee            | 4.60722923279   <-> 4.31367588043   || 1
twee            | groepen         | 6.26883172989   <-> 6.73036050797   || 0
groepen         | <UNK>           | 3.20665216446   <-> 3.33354949951   || 0
<UNK>           | die             | 3.25909233093   <-> 4.23153877258   || 0
die             | in              | 2.90867066383   <-> 2.92964148521   || 0
in              | the             | 8.35922431946   <-> 9.00604057312   || 0
the             | <UNK>           | 1.10782575607   <-> 0.937019228935  || 1
<UNK>           | naar            | 5.66096448898   <-> 5.38570261002   || 1
naar            | de              | 1.33299958706   <-> 1.30617308617   || 1
de              | bal             | 8.92864990234   <-> 7.89974212646   || 1
bal             | aan             | 5.65813493729   <-> 5.1060590744    || 1
aan             | het             | 2.20291233063   <-> 2.05427980423   || 1
het             | zoeken          | 7.30808448792   <-> 7.17316484451   || 1
zoeken          | zijn            | 3.38778734207   <-> 3.45443224907   || 0
zijn            | </s>            | 1.50609719753   <-> 1.63767409325   || 0
<s>             | <UNK>           | 2.90639543533   <-> 3.21614193916   || 0
<UNK>           | had             | 5.83817863464   <-> 5.25700712204   || 1
had             | wel             | 5.14448451996   <-> 4.97442150116   || 1
wel             | vaker           | 6.80315494537   <-> 7.26084327698   || 0
vaker           | een             | 2.51197862625   <-> 2.62233972549   || 0
een             | scherpe         | 8.13245582581   <-> 8.42035293579   || 0
scherpe         | definitie       | 9.38025093079   <-> 9.24440383911   || 1
definitie       | in              | 3.02225542068   <-> 3.09801912308   || 0
in              | huis            | 5.82412242889   <-> 5.86571979523   || 0
huis            | </s>            | 1.18883371353   <-> 1.33222556114   || 0
<s>             | bijvoorbeeld    | 8.29383659363   <-> 8.24576282501   || 1
bijvoorbeeld    | voor            | 4.17014980316   <-> 4.59117698669   || 0
voor            | een             | 2.26553821564   <-> 2.73672938347   || 0
een             | hole            | 12.88585186     <-> 12.8223762512   || 1
hole            | in              | 3.12068510056   <-> 2.85148954391   || 1
in              | one             | 12.6078929901   <-> 12.6832561493   || 0
one             | </s>            | 3.32478380203   <-> 4.10594654083   || 0
<s>             | bij             | 5.25429725647   <-> 5.11658763885   || 1
bij             | een             | 2.46605324745   <-> 2.81349420547   || 0
een             | <UNK>           | 1.57379615307   <-> 2.05603456497   || 0
<UNK>           | wordt           | 5.02524518967   <-> 4.62171554565   || 1
wordt           | de              | 1.88117599487   <-> 1.94100630283   || 0
de              | bal             | 8.33062458038   <-> 7.26217269897   || 1
bal             | in              | 2.81546998024   <-> 2.63505840302   || 1
in              | één           | 5.95219278336   <-> 6.06983566284   || 0
één           | slag            | 9.7473449707    <-> 10.1793460846   || 0
slag            | vanop           | 9.7206697464    <-> 9.02163982391   || 1
vanop           | de              | 1.16033291817   <-> 1.32699394226   || 0
de              | thee            | 9.82545471191   <-> 9.59674549103   || 1
thee            | tot             | 5.83181190491   <-> 6.33425712585   || 0
tot             | in              | 4.91679286957   <-> 4.07851552963   || 1
in              | de              | 1.27644383907   <-> 1.45764446259   || 0
de              | hole            | 13.4122457504   <-> 12.8387002945   || 1
hole            | geslagen        | 6.40527057648   <-> 6.14493465424   || 1
geslagen        | door            | 3.45403981209   <-> 3.03572654724   || 1
door            | een             | 2.1457285881    <-> 2.1072306633    || 1
een             | <UNK>           | 1.50072658062   <-> 1.86580502987   || 0
<UNK>           | die             | 3.18632602692   <-> 3.5573182106    || 0
die             | helemaal        | 7.14932727814   <-> 7.43442153931   || 0
helemaal        | alleen          | 5.24935293198   <-> 5.23452997208   || 1
alleen          | op              | 3.47723722458   <-> 3.42811846733   || 1
op              | de              | 1.37789404392   <-> 1.4758900404    || 0
de              | baan            | 6.9673743248    <-> 6.48546504974   || 1
baan            | staat           | 4.79076099396   <-> 4.4033870697    || 1
staat           | </s>            | 0.50519400835   <-> 0.397341698408  || 1
<s>             | door            | 5.6951842308    <-> 5.8560552597    || 0
door            | de              | 1.14607286453   <-> 1.1722369194    || 0
de              | wind            | 7.78312110901   <-> 7.49979066849   || 1
wind            | en              | 2.87527370453   <-> 2.71530723572   || 1
en              | het             | 2.66349506378   <-> 2.75194120407   || 0
het             | hoge            | 8.10225105286   <-> 7.70946598053   || 1
hoge            | gras            | 7.24607610703   <-> 6.42863750458   || 1
